MeV,Weight,Weight
0.15756497,0.002800731,0.002800731
0.1701311,0.008587662,0.008587662
0.19538444,0.01694724,0.01694724
0.211994,0.028520292,0.028520292
0.22866815,0.03837906,0.03837906
0.24531807,0.04888068,0.04888068
0.261855,0.062382307,0.062382307
0.27849686,0.07309821,0.07309821
0.28655952,0.08531331,0.08531331
0.3072771,0.1009582,0.1009582
0.3196334,0.11231656,0.11231656
0.34033483,0.12839001,0.12839001
0.35684758,0.1425345,0.1425345
0.38181037,0.15860836,0.15860836
0.3941505,0.17039528,0.17039528
0.41076815,0.18175405,0.18175405
0.42740193,0.19268425,0.19268425
0.44822443,0.20554343,0.20554343
0.5111923,0.23083523,0.23083523
0.55745375,0.2471254,0.2471254
0.65055776,0.2642772,0.2642772
0.7523136,0.27800122,0.27800122
0.9009685,0.29108685,0.29108685
1.0711883,0.29731736,0.29731736
1.2203598,0.2966887,0.2966887
1.3738571,0.29434618,0.29434618
1.4848217,0.28985673,0.28985673
1.6342593,0.28215665,0.28215665
1.8605547,0.27039245,0.27039245
2.099739,0.25584376,0.25584376
2.2748902,0.24428897,0.24428897
2.5055356,0.23016801,0.23016801
2.7959611,0.21283847,0.21283847
3.0607538,0.19722077,0.19722077
3.3596938,0.18010633,0.18010633
3.5775068,0.16726989,0.16726989
3.8380382,0.15165178,0.15165178
4.102839,0.13581981,0.13581981
4.2822433,0.12447971,0.12447971
4.5513945,0.10629099,0.10629099
4.7095323,0.093877435,0.093877435
4.8676867,0.08103531,0.08103531
5.0514812,0.06626704,0.06626704
5.154117,0.056633927,0.056633927
5.261054,0.04592979,0.04592979
5.359461,0.035439122,0.035439122
5.45359,0.025376623,0.025376623
5.624471,0.014035714,0.014035714
5.7909384,0.006765828,0.006765828
5.9444923,0.002923295,0.002923295
6.008469,0.001429383,0.001429383
