MeV,Weight,Weight
0.019435523,7.48E-05,7.48E-05
0.021954637,6.22E-04,6.22E-04
0.024446739,0.001145265,0.001145265
0.027616616,0.00159738,0.00159738
0.030313738,0.002049347,0.002049347
0.033998452,0.002548951,0.002548951
0.038959194,0.003191239,0.003191239
0.043692335,0.003809654,0.003809654
0.048303638,0.004332945,0.004332945
0.05301636,0.004975011,0.004975011
0.05819019,0.005569553,0.005569553
0.062506385,0.006187745,0.006187745
0.06618265,0.00687715,0.00687715
0.07057723,0.007661643,0.007661643
0.0736588,0.008446024,0.008446024
0.07715244,0.00920666,0.00920666
0.08052111,0.009991041,0.009991041
0.08358667,0.010739751,0.010739751
0.086305566,0.011417145,0.011417145
0.09007388,0.012201526,0.012201526
0.09501968,0.013110715,0.013110715
0.09812285,0.013520783,0.013520783
0.104089096,0.01403792,0.01403792
0.11042554,0.014412483,0.014412483
0.11715363,0.014680116,0.014680116
0.12496107,0.01498342,0.01498342
0.13401459,0.015197643,0.015197643
0.14686029,0.01534069,0.01534069
0.15922965,0.015251998,0.015251998
0.16625467,0.015109646,0.015109646
0.17359254,0.014931651,0.014931651
0.18420802,0.014753738,0.014753738
0.19337745,0.014575771,0.014575771
0.20191582,0.014362132,0.014362132
0.21660666,0.013970414,0.013970414
0.22496097,0.013703282,0.013703282
0.23490374,0.013400534,0.013400534
0.2439658,0.01311558,0.01311558
0.25474855,0.012812832,0.012812832
0.2660034,0.012545728,0.012545728
0.2762513,0.012367705,0.012367705
0.28691086,0.012064929,0.012064929
0.3012027,0.011815675,0.011815675
0.32310382,0.011513066,0.011513066
0.34287658,0.011246045,0.011246045
0.37381744,0.010854411,0.010854411
0.41642964,0.010462888,0.010462888
0.45152256,0.010285087,0.010285087
0.48428044,0.01030327,0.01030327
0.49749237,0.010356874,0.010356874
0.5083739,0.010178768,0.010178768
0.51672363,0.009911524,0.009911524
0.5280258,0.009733418,0.009733418
0.5395753,0.009555311,0.009555311
0.572576,0.009359578,0.009359578
0.6208484,0.00911049,0.00911049
0.6916202,0.008718967,0.008718967
0.80878377,0.008220763,0.008220763
0.8865018,0.007900443,0.007900443
0.96649885,0.007508809,0.007508809
1.0423503,0.007259694,0.007259694
1.1674533,0.006850376,0.006850376
1.2389075,0.006565534,0.006565534
1.3361377,0.006316418,0.006316418
1.4645921,0.005906989,0.005906989
1.6672024,0.005373003,0.005373003
1.8573593,0.004856728,0.004856728
2.0249827,0.004447272,0.004447272
2.1606777,0.004019883,0.004019883
2.4072,0.00343232,0.00343232
2.5272799,0.003040491,0.003040491
2.6818948,0.002809113,0.002809113
2.8308659,0.002435134,0.002435134
3.0369084,0.001989951,0.001989951
3.2404675,0.001526918,0.001526918
3.4388878,0.00118861,0.00118861
3.5525389,7.97E-04,7.97E-04
3.6698844,4.40E-04,4.40E-04
3.8318918,2.45E-04,2.45E-04
4.001051,4.88E-05,4.88E-05
